Year,Meet,Elevation
2014,2014 WSCU/GHS Combined Invitational,
2014,2014 West Coast Last Chance,
2014,2014 Winthrop Invitational,
2014,2014 Winthrop University Invitational,
2015,2014 Yale Season Opener,
2014,2014 Yale Springtime Invitational,
2015,2014 Yellowjacket Holiday Open,
2014,2014 Yellowjacket Spring Opener,
2014,2014 Yellowjacket XC Open,
2015,2015 6th Annual Roadrunner Invitational,
2015,2015 Achilles Cup,
2015,2015 Aggie Invitational,
2015,2015 Al Hall Freedom Games,
2015,2015 Alex Francis Classic,
2015,2015 Armory Track Invitational,
2015,2015 Beach Invitational,
2015,2015 Bearcat Open,
2015,2015 Ben Brown Invitational,
2015,2015 Bill Easton Classic,
2015,2015 Bob Timmons Dual Classic,
2015,2015 Brissman-Lundeen Cross Country Invitational,
2015,2015 CACC Men's XC Championship,
2015,2015 CSU Stanislaus Kim Duyst Invitational,
2015,2015 Cal U Early Bird,
2015,2015 Clyde Littlefield Texas Relays,
2015,2015 Colgate Class of 1932 Invitational,
2015,2015 Colonial Relays,
2015,2015 Concordia Classic,
2015,2015 Concordia Indoor Invite,
2015,2015 Concordia Invite,
2015,2015 Conference Carolinas Championships,
2015,2015 Dartmouth Indoor Classic,
2015,2015 Dartmouth Relays - College/Open,
2015,2015 Dartmouth XC Invitational,
2015,2015 Dave Little Alumi Mile,
2015,2015 Delaware Invitational,
2015,2015 Don Church Invitational,
2015,2015 Drake Relays presented by Hy-Vee,
2015,2015 ESU Spring Open,
2015,2015 East Bay Legacy Invitational,
2015,2015 Fred Hardy Invitational,
2015,2015 G-MAC Cross Country Championships,
2015,2015 G-MAC Outdoor Track & Field Championships,
2015,2015 GLIAC Outdoor Track & Field Championships  Apr 30 -,
2015,2015 GLVC Cross Cross Championships,
2015,2015 GNAC Cross Country Championship,
2015,2015 Gladstein Invitational,
2015,2015 Golden Ram Invitational,
2015,2015 Greater Boston Track Club Invitational (GBTC),
2015,2015 Gulf Coast Stampede,
2015,2015 Hillsdale CC Invitational,
2015,2015 Hoosier Hills,
2016,2015 Hoosier Open,
2015,2015 IC4A/ECAC Indoor Track & Field Championships,
2015,2015 Indiana Intercollegiate Championships,
2016,2015 Jay Carisella Track & Field Invitational,
2015,2015 Jayhawk Classic,
2015,2015 Jim Duncan Invitational,
2015,2015 Jim Sheehan Invitational,
2015,2015 Kentucky Track and Field Invitational,
2015,2015 Kip Janvrin Open,
2015,2015 Lenoir Rhyne Powersox Invitational,
2015,2015 Liberty Open,
2015,2015 Liberty Twilight,
2015,2015 Mack Cooper Invitational,
2015,2015 Marauders Open,
2015,2015 McMurry University War Hawk Classic,
2015,2015 Michigan Intercollegiate Championships,
2015,2015 Mountain Dew Gator Cross Country Invitational (College),
2015,2015 Myrle Hanson Open,
2015,2015 NAIA Indoor Track & Field National Championships,
2015,2015 NSU Open Outdoor,
2015,2015 NWU Spring Invite,
2015,2015 OBU Bison Invitational,
2015,2015 PLNU Collegiate Invitational,
2015,2015 Penn Relays,
2015,2015 Philadelphia Metropolitan XC Invitational,
2015,2015 Pomona-Pitzer All Comers,
2015,2015 RMAC Indoor Championships,
2015,2015 Redlands Invitational,
2015,2015 Rose City Preview,
2015,2015 Silfen Invitational,
2015,2015 Sorlien Invitational,
2015,2015 South Alabama Invitational,
2015,2015 Spartan Invitational,
2015,2015 Stinger Open,
2015,2015 Tampa Early Bird Classic,
2015,2015 Tiger Invite,
2015,2015 Titan Twilight,
2015,2015 Towson University Invitational,
2015,2015 Tribe Invitational,
2015,2015 Triton Invitational,
